generation,best_total_travel,median_total_travel,worst_total_travel,feasible_ratio
0,1406.014475,1621.127983,1798.115228,1.000000
1,1382.460522,1565.907046,1758.529583,1.000000
2,1382.460522,1525.913605,1735.213528,1.000000
3,1355.004914,1479.180681,1690.771424,1.000000
4,1332.923176,1448.051018,1620.146871,1.000000
5,1332.923176,1417.610152,1590.807311,1.000000
6,1304.061184,1390.769391,1658.581331,1.000000
7,1304.061184,1376.819231,1585.513977,1.000000
8,1304.061184,1369.332286,1534.396980,1.000000
9,1283.805136,1360.443486,1708.441457,1.000000
10,1282.772493,1346.744186,1490.499793,1.000000
11,1282.772493,1331.425847,1449.479338,1.000000
12,1282.772493,1323.569297,1444.881986,1.000000
13,1252.936294,1324.369208,1516.646116,1.000000
14,1252.936294,1301.935536,1468.567256,1.000000
15,1248.935148,1297.932346,1552.793487,1.000000
16,1248.935148,1293.259283,1485.101582,1.000000
17,1246.347284,1283.778319,1433.501544,1.000000
18,1238.394717,1275.980214,1497.100055,1.000000
19,1230.287150,1273.291453,1488.536835,1.000000
20,1230.287150,1266.529181,1414.480777,1.000000
21,1222.931808,1260.589784,1469.359491,1.000000
22,1222.064079,1259.827009,1491.594251,1.000000
23,1213.485728,1248.111582,1428.237130,1.000000
24,1212.503252,1244.328757,1442.797655,1.000000
25,1210.932008,1243.419515,1407.923451,1.000000
26,1198.814389,1247.685047,1407.448303,1.000000
27,1197.837855,1229.129673,1397.194171,1.000000
28,1196.260669,1222.655021,1393.521492,1.000000
29,1194.767099,1240.549980,1389.946698,1.000000
30,1194.767099,1219.413064,1548.963255,1.000000
31,1194.023058,1219.389020,1377.503429,1.000000
32,1190.999551,1226.714048,1413.047161,1.000000
33,1190.434418,1214.888642,1390.657780,1.000000
34,1190.189447,1220.495673,1397.682822,1.000000
35,1190.056989,1208.903499,1447.343380,1.000000
36,1184.783613,1207.115491,1362.251555,1.000000
37,1184.783613,1208.491487,1375.748888,1.000000
38,1184.783613,1207.814173,1375.919809,1.000000
39,1184.110047,1192.062952,1351.458324,1.000000
40,1183.236808,1192.062952,1349.994747,1.000000
41,1183.236808,1211.280494,1359.014598,1.000000
42,1183.236808,1212.082198,1366.977341,1.000000
43,1180.830367,1197.798348,1333.915010,1.000000
44,1180.830367,1207.050115,1329.829200,1.000000
45,1180.758858,1216.679385,1364.524964,1.000000
46,1180.758858,1208.572636,1387.128717,1.000000
47,1180.156800,1209.971295,1421.341785,1.000000
48,1179.187843,1204.986434,1381.674693,1.000000
49,1179.187843,1197.057200,1319.402697,1.000000
50,1177.241710,1195.445407,1344.827404,1.000000
51,1176.568143,1206.717521,1444.539061,1.000000
52,1175.360183,1212.487594,1333.860304,1.000000
53,1175.360183,1204.040332,1355.795101,1.000000
54,1175.360183,1202.331244,1294.478696,1.000000
55,1173.742189,1198.336932,1351.293404,1.000000
56,1173.649381,1192.184900,1388.920152,1.000000
57,1173.649381,1192.797104,1323.096237,1.000000
58,1172.633445,1192.551271,1346.775740,1.000000
59,1172.633445,1201.897527,1331.896556,1.000000
60,1172.633445,1198.967686,1398.950590,1.000000
61,1172.104456,1196.897223,1381.406090,1.000000
62,1172.104456,1185.443603,1300.933990,1.000000
63,1172.104456,1186.939463,1346.962609,1.000000
64,1172.104456,1192.208958,1351.700056,1.000000
65,1172.104456,1190.627284,1325.808399,1.000000
66,1172.104456,1192.100710,1397.350956,1.000000
67,1172.104456,1216.629383,1296.685835,1.000000
68,1172.104456,1202.924676,1335.370003,1.000000
69,1172.104456,1202.220952,1373.114711,1.000000
70,1172.104456,1189.663842,1418.913752,1.000000
71,1172.104456,1200.013549,1324.972582,1.000000
72,1172.104456,1201.375422,1341.600883,1.000000
73,1172.104456,1201.587497,1324.117462,1.000000
74,1172.104456,1202.061673,1387.047416,1.000000
75,1172.104456,1202.061673,1344.961771,1.000000
76,1172.104456,1199.726020,1305.739987,1.000000
77,1172.104456,1201.117704,1355.220617,1.000000
78,1172.104456,1190.534148,1351.040892,1.000000
79,1172.104456,1201.944843,1446.129137,1.000000
80,1172.104456,1198.769655,1419.355370,1.000000
81,1172.104456,1193.589416,1312.362829,1.000000
82,1172.104456,1196.514975,1418.054117,1.000000
83,1172.104456,1201.375422,1378.823713,1.000000
84,1172.066300,1187.339432,1294.909744,1.000000
85,1172.066300,1188.031397,1275.441801,1.000000
86,1172.066300,1190.176078,1363.577117,1.000000
87,1172.066300,1189.628088,1329.491951,1.000000
88,1172.066300,1189.524334,1354.223363,1.000000
89,1172.066300,1190.135148,1324.678998,1.000000
90,1172.066300,1190.486543,1356.382078,1.000000
91,1172.066300,1190.467465,1311.163739,1.000000
92,1172.066300,1197.220640,1395.609684,1.000000
93,1172.066300,1185.053630,1321.883854,1.000000
94,1172.066300,1190.467465,1276.930157,1.000000
95,1172.066300,1203.749180,1379.123089,1.000000
96,1172.066300,1197.723228,1307.109212,1.000000
97,1172.066300,1197.723228,1327.864728,1.000000
98,1172.066300,1200.936610,1306.375334,1.000000
99,1172.066300,1194.990794,1410.782714,1.000000
100,1172.066300,1196.478419,1327.044533,1.000000
101,1172.066300,1193.412102,1313.068959,1.000000
102,1172.066300,1185.053630,1384.720481,1.000000
103,1172.066300,1185.053630,1346.092645,1.000000
104,1172.066300,1183.149775,1294.590007,1.000000
105,1172.066300,1183.813790,1329.417691,1.000000
106,1172.066300,1185.053630,1313.990027,1.000000
107,1172.066300,1193.633676,1323.578664,1.000000
108,1172.066300,1191.516318,1332.768733,1.000000
109,1172.066300,1187.760547,1286.041438,1.000000
110,1172.066300,1190.705184,1353.093584,1.000000
111,1172.066300,1204.929652,1364.470151,1.000000
112,1172.066300,1196.695311,1402.687334,1.000000
113,1172.066300,1194.262395,1348.180877,1.000000
114,1172.066300,1184.479234,1371.259054,1.000000
115,1172.066300,1196.121954,1307.183698,1.000000
116,1172.066300,1187.760547,1337.060710,1.000000
117,1172.066300,1185.053630,1377.183580,1.000000
118,1172.066300,1196.480226,1263.387567,1.000000
119,1172.066300,1193.080479,1386.649024,1.000000
