generation,best_total_travel,median_total_travel,worst_total_travel,feasible_ratio
0,655.658331,881.233666,1313.909520,1.000000
1,652.393758,784.465175,1056.346872,1.000000
2,634.489415,730.927687,952.700854,1.000000
3,634.489415,692.983470,879.997271,1.000000
4,625.819870,655.658331,757.223940,1.000000
5,612.248723,651.778732,820.220762,1.000000
6,612.248723,644.303780,746.197929,1.000000
7,612.248723,633.473547,803.610109,1.000000
8,607.643172,626.378271,788.087933,1.000000
9,607.643172,625.819870,797.919826,1.000000
10,591.556557,622.771361,782.794726,1.000000
11,591.556557,612.248723,754.129398,1.000000
12,591.556557,607.643172,748.480052,1.000000
13,591.556557,607.643172,751.912238,1.000000
14,591.556557,591.556557,767.433439,1.000000
15,591.556557,591.556557,760.449661,1.000000
16,591.556557,591.556557,740.694310,1.000000
17,591.556557,591.556557,743.895744,1.000000
18,591.556557,591.556557,743.895744,1.000000
19,591.556557,591.556557,718.876865,1.000000
20,591.556557,591.556557,754.008539,1.000000
21,591.556557,591.556557,739.312033,1.000000
22,591.556557,591.556557,779.656066,1.000000
23,591.556557,591.556557,732.393437,1.000000
24,591.556557,591.556557,718.876865,1.000000
25,591.556557,591.556557,743.895744,1.000000
26,591.556557,591.556557,731.953870,1.000000
27,591.556557,591.556557,732.301765,1.000000
28,591.556557,591.556557,792.302003,1.000000
29,591.556557,591.556557,743.895744,1.000000
30,591.556557,591.556557,732.301765,1.000000
31,591.556557,591.556557,722.205164,1.000000
32,591.556557,591.556557,749.354364,1.000000
33,591.556557,591.556557,775.234335,1.000000
34,591.556557,591.556557,749.299148,1.000000
35,591.556557,591.556557,722.258099,1.000000
36,591.556557,591.556557,720.560754,1.000000
37,591.556557,591.556557,732.393437,1.000000
38,591.556557,591.556557,744.381841,1.000000
39,591.556557,591.556557,727.809725,1.000000
40,591.556557,591.556557,754.008539,1.000000
41,591.556557,591.556557,743.895744,1.000000
42,591.556557,591.556557,744.350253,1.000000
43,591.556557,591.556557,713.794087,1.000000
44,591.556557,591.556557,738.172959,1.000000
45,591.556557,591.556557,732.393437,1.000000
46,591.556557,591.556557,761.766630,1.000000
47,591.556557,591.556557,735.840143,1.000000
48,591.556557,591.556557,712.050425,1.000000
49,591.556557,591.556557,722.205164,1.000000
50,591.556557,591.556557,718.876865,1.000000
51,591.556557,591.556557,726.670651,1.000000
52,591.556557,591.556557,754.008539,1.000000
53,591.556557,591.556557,726.670651,1.000000
54,591.556557,591.556557,782.034156,1.000000
55,591.556557,591.556557,789.479495,1.000000
56,591.556557,591.556557,735.840143,1.000000
57,591.556557,591.556557,731.953870,1.000000
58,591.556557,591.556557,738.172959,1.000000
59,591.556557,591.556557,743.895744,1.000000
60,591.556557,591.556557,743.895744,1.000000
61,591.556557,591.556557,738.172959,1.000000
62,591.556557,591.556557,700.369188,1.000000
63,591.556557,591.556557,774.155197,1.000000
64,591.556557,591.556557,712.050425,1.000000
65,591.556557,591.556557,726.670651,1.000000
66,591.556557,591.556557,726.670651,1.000000
67,591.556557,591.556557,713.794087,1.000000
68,591.556557,591.556557,743.895744,1.000000
69,591.556557,591.556557,743.895744,1.000000
70,591.556557,591.556557,718.876865,1.000000
71,591.556557,591.556557,738.172959,1.000000
72,591.556557,591.556557,759.718205,1.000000
73,591.556557,591.556557,727.889212,1.000000
74,591.556557,591.556557,722.205164,1.000000
75,591.556557,591.556557,720.515845,1.000000
76,591.556557,591.556557,713.794087,1.000000
77,591.556557,591.556557,743.895744,1.000000
78,591.556557,591.556557,764.882442,1.000000
79,591.556557,591.556557,754.008539,1.000000
80,591.556557,591.556557,713.794087,1.000000
81,591.556557,591.556557,713.794087,1.000000
82,591.556557,591.556557,713.794087,1.000000
83,591.556557,591.556557,738.172959,1.000000
84,591.556557,591.556557,713.794087,1.000000
85,591.556557,591.556557,713.794087,1.000000
86,591.556557,591.556557,743.895744,1.000000
87,591.556557,591.556557,731.953870,1.000000
88,591.556557,591.556557,723.372661,1.000000
89,591.556557,591.556557,718.876865,1.000000
90,591.556557,591.556557,753.463304,1.000000
91,591.556557,591.556557,736.334947,1.000000
92,591.556557,591.556557,759.642326,1.000000
93,591.556557,591.556557,767.932505,1.000000
94,591.556557,591.556557,710.854786,1.000000
95,591.556557,591.556557,727.809725,1.000000
96,591.556557,591.556557,752.912420,1.000000
97,591.556557,591.556557,694.492299,1.000000
98,591.556557,591.556557,732.393437,1.000000
99,591.556557,591.556557,722.205164,1.000000
100,591.556557,591.556557,738.172959,1.000000
101,591.556557,591.556557,743.895744,1.000000
102,591.556557,591.556557,738.056346,1.000000
103,591.556557,591.556557,722.205164,1.000000
104,591.556557,591.556557,822.278096,1.000000
105,591.556557,591.556557,726.670651,1.000000
106,591.556557,591.556557,738.172959,1.000000
107,591.556557,591.556557,731.652761,1.000000
108,591.556557,591.556557,743.895744,1.000000
109,591.556557,591.556557,738.172959,1.000000
110,591.556557,591.556557,775.107526,1.000000
111,591.556557,591.556557,752.113962,1.000000
112,591.556557,591.556557,729.192002,1.000000
113,591.556557,591.556557,700.369188,1.000000
114,591.556557,591.556557,722.205164,1.000000
115,591.556557,591.556557,713.794087,1.000000
116,591.556557,591.556557,735.743529,1.000000
117,591.556557,591.556557,722.205164,1.000000
118,591.556557,591.556557,738.172959,1.000000
119,591.556557,591.556557,726.670651,1.000000
120,591.556557,591.556557,738.172959,1.000000
121,591.556557,591.556557,754.008539,1.000000
122,591.556557,591.556557,708.680503,1.000000
123,591.556557,591.556557,739.312033,1.000000
124,591.556557,591.556557,732.301765,1.000000
125,591.556557,591.556557,729.454135,1.000000
126,591.556557,591.556557,722.205164,1.000000
127,591.556557,591.556557,731.081621,1.000000
128,591.556557,591.556557,732.393437,1.000000
129,591.556557,591.556557,743.895744,1.000000
130,591.556557,591.556557,722.205164,1.000000
131,591.556557,591.556557,718.876865,1.000000
132,591.556557,591.556557,732.393437,1.000000
133,591.556557,591.556557,726.670651,1.000000
134,591.556557,591.556557,761.727674,1.000000
135,591.556557,591.556557,780.353106,1.000000
136,591.556557,591.556557,747.938646,1.000000
137,591.556557,591.556557,753.815535,1.000000
138,591.556557,591.556557,743.895744,1.000000
139,591.556557,591.556557,743.895744,1.000000
140,591.556557,591.556557,713.794087,1.000000
141,591.556557,591.556557,732.393437,1.000000
142,591.556557,591.556557,748.768424,1.000000
143,591.556557,591.556557,754.008539,1.000000
144,591.556557,591.556557,743.895744,1.000000
145,591.556557,591.556557,738.172959,1.000000
146,591.556557,591.556557,732.393437,1.000000
147,591.556557,591.556557,743.895744,1.000000
148,591.556557,591.556557,732.393437,1.000000
