generation,best_total_travel,median_total_travel,worst_total_travel,feasible_ratio
0,2011.399103,2254.764464,2571.875618,1.000000
1,1893.739906,2106.922230,2378.005622,1.000000
2,1849.332735,2009.364417,2279.391122,1.000000
3,1765.810477,1925.362824,2303.479219,1.000000
4,1701.593504,1851.120406,2265.778390,1.000000
5,1658.924381,1776.858387,2053.195985,1.000000
6,1577.229501,1727.708832,2054.519984,1.000000
7,1554.240163,1678.898332,1898.201255,1.000000
8,1554.240163,1644.232508,2004.086479,1.000000
9,1535.689389,1628.315730,1867.133169,1.000000
10,1520.736579,1593.189235,1985.323067,1.000000
11,1517.933223,1582.313495,1810.913564,1.000000
12,1498.446173,1558.088276,1887.588252,1.000000
13,1461.267289,1538.727925,1853.417194,1.000000
14,1457.472269,1548.942184,1982.926459,1.000000
15,1452.583100,1511.164325,1888.750476,1.000000
16,1433.579559,1495.266830,1955.457730,1.000000
17,1415.049822,1472.873727,1757.547092,1.000000
18,1414.654876,1467.976279,1725.395609,1.000000
19,1413.631476,1461.273996,1721.343275,1.000000
20,1413.631476,1468.998402,1782.084369,1.000000
21,1410.722627,1453.900648,1710.331619,1.000000
22,1399.255419,1442.282714,1746.967045,1.000000
23,1395.597318,1444.939914,1744.390554,1.000000
24,1352.946352,1442.323527,1643.000498,1.000000
25,1352.946352,1434.802312,1638.310136,1.000000
26,1352.946352,1414.250608,1688.313105,1.000000
27,1352.946352,1413.165215,1659.719757,1.000000
28,1341.423166,1415.134102,1658.462580,1.000000
29,1341.423166,1419.528074,1675.501645,1.000000
30,1341.423166,1411.889846,1704.920951,1.000000
31,1341.423166,1390.664545,1694.839951,1.000000
32,1341.149018,1386.175036,1628.514396,1.000000
33,1341.149018,1390.930833,1587.002521,1.000000
34,1339.505308,1408.829093,1675.966971,1.000000
35,1338.243009,1402.353523,1594.679486,1.000000
36,1338.243009,1422.460665,1601.227602,1.000000
37,1337.900444,1360.095505,1591.538355,1.000000
38,1330.147633,1341.423166,1593.008989,1.000000
39,1330.147633,1369.542309,1611.978464,1.000000
40,1329.203728,1357.086206,1605.142137,1.000000
41,1328.929580,1377.808105,1612.173370,1.000000
42,1328.929580,1374.921417,1752.790229,1.000000
43,1328.929580,1413.012799,1617.456814,1.000000
44,1328.843870,1360.296723,1588.371939,1.000000
45,1328.843870,1355.008456,1601.386555,1.000000
46,1328.843870,1354.689197,1620.262272,1.000000
47,1328.843870,1339.283530,1643.528450,1.000000
48,1328.843870,1329.203728,1737.914489,1.000000
49,1328.843870,1389.190287,1607.752400,1.000000
50,1327.899964,1356.366177,1584.254564,1.000000
51,1325.540073,1360.853793,1675.554140,1.000000
52,1325.540073,1379.893828,1617.509575,1.000000
53,1325.540073,1375.991918,1626.064975,1.000000
54,1325.540073,1403.661173,1621.429866,1.000000
55,1322.286917,1353.641357,1617.646196,1.000000
56,1322.286917,1342.743953,1529.984743,1.000000
57,1322.286917,1326.483979,1706.834840,1.000000
58,1322.286917,1372.901226,1617.515036,1.000000
59,1322.286917,1361.509968,1739.661592,1.000000
60,1322.286917,1325.540073,1739.711204,1.000000
61,1322.286917,1322.286917,1647.920061,1.000000
62,1322.286917,1322.286917,1799.570492,1.000000
63,1322.286917,1363.702186,1684.825037,1.000000
64,1322.286917,1363.702186,1756.783509,1.000000
65,1322.286917,1322.286917,1548.665336,1.000000
66,1322.286917,1322.423990,1583.398977,1.000000
67,1322.286917,1363.887450,1549.894860,1.000000
68,1322.286917,1360.085600,1657.347000,1.000000
