generation,best_total_travel,median_total_travel,worst_total_travel,feasible_ratio
0,1384.812788,1537.971326,1710.876154,1.000000
1,1309.433874,1441.925406,1560.883212,1.000000
2,1233.379973,1361.893239,1598.663139,1.000000
3,1193.758782,1311.326757,1461.792673,1.000000
4,1135.514796,1277.375073,1526.079832,1.000000
5,1135.435846,1264.313728,1439.458174,1.000000
6,1109.955975,1206.398577,1424.699629,1.000000
7,1076.482127,1175.000290,1362.423455,1.000000
8,1076.482127,1146.250993,1332.480176,1.000000
9,1064.493387,1127.871271,1287.357060,1.000000
10,1060.241894,1112.664148,1280.687086,1.000000
11,1041.711796,1108.662435,1338.207909,1.000000
12,1041.217098,1101.938127,1310.104579,1.000000
13,1030.634164,1083.362362,1201.106909,1.000000
14,1024.047233,1080.282839,1306.761230,1.000000
15,1024.047233,1077.490739,1270.180947,1.000000
16,1022.128569,1059.110594,1219.577174,1.000000
17,1018.727214,1066.868277,1235.436360,1.000000
18,1013.453614,1058.836002,1226.789164,1.000000
19,1010.265626,1060.844292,1219.981309,1.000000
20,1001.963327,1060.661586,1253.374963,1.000000
21,963.926890,1042.546084,1301.973566,1.000000
22,963.926890,1031.468094,1277.154825,1.000000
23,960.983802,1030.473370,1185.179670,1.000000
24,959.440619,1011.756697,1237.364147,1.000000
25,958.166263,1023.366842,1251.656278,1.000000
26,956.226104,996.851415,1227.606973,1.000000
27,953.375691,994.829142,1171.414985,1.000000
28,934.086627,989.303077,1208.790090,1.000000
29,932.745703,988.031197,1192.020722,1.000000
30,928.510683,974.297580,1178.818724,1.000000
31,928.510683,966.961189,1196.931572,1.000000
32,927.191481,963.994252,1207.764433,1.000000
33,926.486629,956.106198,1130.385549,1.000000
34,923.953004,955.942876,1149.669013,1.000000
35,923.953004,962.069594,1145.045153,1.000000
36,922.628231,959.144108,1100.359518,1.000000
37,918.895284,978.523816,1198.590428,1.000000
38,918.676194,948.640323,1203.031328,1.000000
39,918.676194,957.510009,1176.941225,1.000000
40,914.996264,943.248000,1166.928988,1.000000
41,914.996264,928.887644,1171.416456,1.000000
42,914.996264,928.591350,1190.982040,1.000000
43,914.996264,934.106900,1155.731532,1.000000
44,914.996264,921.643261,1178.711652,1.000000
45,914.857889,943.406220,1106.525977,1.000000
46,914.857889,936.265063,1144.365327,1.000000
47,914.857889,922.310588,1153.414938,1.000000
48,912.941334,920.991333,1127.817305,1.000000
49,912.941334,915.852876,1141.953454,1.000000
50,911.528722,921.352199,1182.869325,1.000000
51,911.528722,932.440376,1185.181717,1.000000
52,910.287064,960.155094,1098.293030,1.000000
53,910.223164,916.284049,1184.406374,1.000000
54,909.334562,914.858132,1099.672748,1.000000
55,909.334562,913.880984,1159.939183,1.000000
56,901.100709,933.106626,1122.478348,1.000000
57,896.904651,937.266239,1149.583286,1.000000
58,896.904651,923.691838,1200.083608,1.000000
59,896.840751,915.300231,1111.689232,1.000000
60,894.551276,908.646103,1100.682875,1.000000
61,891.905423,931.865285,1145.168795,1.000000
62,891.905423,915.481925,1141.957165,1.000000
63,891.841522,913.245330,1172.361260,1.000000
64,890.487010,896.904651,1128.706080,1.000000
65,890.487010,895.749096,1156.041985,1.000000
66,890.423109,910.451495,1151.113114,1.000000
67,890.319123,923.768453,1134.772397,1.000000
68,890.319123,901.948997,1150.053829,1.000000
69,888.883441,904.566736,1156.573220,1.000000
70,888.863637,890.533454,1133.221580,1.000000
71,888.863637,890.423109,1104.220652,1.000000
72,888.863637,890.423109,1084.927857,1.000000
73,887.995888,890.403306,1118.542124,1.000000
74,887.995888,890.365385,1135.085012,1.000000
75,887.995888,889.571245,1081.963263,1.000000
76,887.995888,903.113867,1081.963263,1.000000
77,887.163828,888.896761,1082.678390,1.000000
78,887.163828,888.873539,1088.464476,1.000000
79,887.163828,904.334348,1146.637245,1.000000
80,887.163828,905.005770,1105.487251,1.000000
81,887.163828,888.873539,1117.443894,1.000000
82,887.163828,913.092737,1107.588136,1.000000
83,886.794743,890.507670,1059.600472,1.000000
84,886.794743,910.441899,1114.271751,1.000000
85,886.794743,913.140649,1152.869388,1.000000
86,885.926994,905.506271,1022.716471,1.000000
87,885.926994,918.671881,1159.426284,1.000000
88,885.926994,922.185958,1168.304572,1.000000
89,885.926994,928.361981,1150.174969,1.000000
90,885.926994,911.244004,1127.666910,1.000000
91,885.926994,908.689817,1143.108525,1.000000
92,885.926994,908.071400,1163.948767,1.000000
93,885.926994,907.534169,1068.760515,1.000000
94,885.926994,911.329292,1059.369475,1.000000
95,885.926994,888.090246,1059.369475,1.000000
96,885.926994,885.926994,1082.990088,1.000000
97,885.926994,920.375081,1092.562519,1.000000
98,885.926994,920.214789,1131.146822,1.000000
99,885.926994,915.526176,1113.659605,1.000000
100,885.926994,916.545290,1104.961633,1.000000
101,885.926994,885.926994,1059.239027,1.000000
102,885.926994,908.126248,1059.239027,1.000000
103,885.926994,887.077539,1099.739242,1.000000
104,885.926994,898.444867,1062.232437,1.000000
105,885.926994,906.483363,1059.239027,1.000000
106,885.926994,912.934908,1119.063917,1.000000
107,885.926994,902.272643,1059.239027,1.000000
108,885.926994,895.338105,1068.417910,1.000000
109,882.346933,889.129534,1087.909589,1.000000
110,882.346933,902.684063,1074.399099,1.000000
111,882.346933,890.757707,1080.772788,1.000000
112,882.346933,901.678935,1131.146822,1.000000
113,882.346933,902.887087,1077.529255,1.000000
114,882.346933,885.926994,1110.926149,1.000000
115,882.346933,887.199963,1069.668788,1.000000
116,882.346933,897.602828,1142.851510,1.000000
117,882.346933,885.926994,1154.173498,1.000000
118,882.346933,884.136963,1080.131574,1.000000
119,882.346933,901.980456,1069.668788,1.000000
120,882.346933,917.393634,1115.779888,1.000000
121,882.346933,897.847175,1121.675010,1.000000
122,882.346933,907.200709,1137.201640,1.000000
123,882.346933,909.226478,1069.668788,1.000000
124,882.346933,902.654963,1097.202321,1.000000
125,882.346933,911.673743,1104.215435,1.000000
126,882.346933,901.237390,1104.128241,1.000000
127,882.346933,898.479757,1110.280460,1.000000
128,882.346933,884.444962,1069.668788,1.000000
129,882.346933,897.925732,1026.325497,1.000000
130,882.346933,894.254331,1103.728419,1.000000
131,882.346933,902.063345,1069.668788,1.000000
132,882.346933,906.627495,1077.010330,1.000000
133,882.346933,901.946597,1069.668788,1.000000
134,882.346933,916.202029,1119.042936,1.000000
135,882.346933,907.168786,1119.042936,1.000000
136,882.346933,898.709804,1131.277270,1.000000
137,882.346933,905.566486,1094.901248,1.000000
138,882.346933,907.869297,1069.668788,1.000000
139,882.346933,908.275843,1069.668788,1.000000
140,882.346933,917.976285,1114.398878,1.000000
141,882.346933,905.815210,1122.391325,1.000000
142,882.346933,908.275843,1066.681940,1.000000
143,882.346933,911.177050,1099.506099,1.000000
144,882.346933,902.471847,1069.668788,1.000000
145,882.346933,904.174325,1132.098939,1.000000
146,882.346933,905.535412,1086.659659,1.000000
147,882.346933,903.025169,1069.668788,1.000000
148,882.346933,901.677023,1136.663262,1.000000
149,882.346933,901.661776,1151.262869,1.000000
150,882.346933,901.920591,1083.019694,1.000000
151,882.346933,913.987172,1069.668788,1.000000
152,882.346933,911.497287,1145.054485,1.000000
153,882.346933,889.874298,1069.668788,1.000000
154,882.346933,917.377672,1101.803860,1.000000
155,882.346933,906.379705,1163.179767,1.000000
