generation,best_total_travel,median_total_travel,worst_total_travel,feasible_ratio
0,1707.415210,1882.328342,2093.309445,1.000000
1,1674.841486,1815.450285,2006.628471,1.000000
2,1622.182560,1759.003474,1982.283802,1.000000
3,1622.182560,1705.564725,1909.426434,1.000000
4,1584.802703,1675.510539,1835.067078,1.000000
5,1536.741786,1639.047291,1827.748082,1.000000
6,1536.741786,1620.263228,1779.931349,1.000000
7,1449.800878,1580.884996,1798.426043,1.000000
8,1449.800878,1554.984309,1809.042508,1.000000
9,1431.500060,1543.364392,1759.537146,1.000000
10,1430.664944,1523.671705,1698.375307,1.000000
11,1363.711950,1493.728655,1665.558662,1.000000
12,1361.769990,1460.017602,1680.571776,1.000000
13,1359.177830,1424.998715,1639.109731,1.000000
14,1349.719012,1407.112019,1591.930243,1.000000
15,1349.719012,1397.341268,1589.208282,1.000000
16,1349.137465,1383.231884,1531.398802,1.000000
17,1346.967988,1378.403774,1568.284967,1.000000
18,1344.084280,1365.090633,1535.022991,1.000000
19,1342.722970,1360.091980,1571.280315,1.000000
20,1329.287427,1348.949835,1636.266556,1.000000
21,1328.994250,1347.667909,1531.338758,1.000000
22,1326.663157,1348.456869,1564.002554,1.000000
23,1323.042619,1343.774111,1536.889272,1.000000
24,1319.919897,1338.158371,1583.956542,1.000000
25,1319.919897,1337.431967,1532.351607,1.000000
26,1316.170877,1336.585794,1553.163631,1.000000
27,1313.546607,1331.223475,1484.554755,1.000000
28,1298.822417,1324.615567,1422.378490,1.000000
29,1296.198147,1317.770277,1443.869438,1.000000
30,1296.198147,1327.083813,1505.897383,1.000000
31,1296.103883,1326.216419,1554.727409,1.000000
32,1295.586257,1310.003212,1506.949759,1.000000
33,1295.586257,1311.573903,1502.592485,1.000000
34,1295.586257,1312.296694,1458.105944,1.000000
35,1292.989381,1305.328583,1440.648342,1.000000
36,1292.989381,1305.969067,1495.169359,1.000000
37,1292.989381,1303.586064,1417.752875,1.000000
38,1292.989381,1301.783417,1537.250119,1.000000
39,1292.989381,1300.117522,1417.031573,1.000000
40,1292.461641,1305.484100,1448.694156,1.000000
41,1292.461641,1302.064024,1428.964280,1.000000
42,1292.461641,1301.431782,1456.168269,1.000000
43,1292.461641,1299.327614,1426.828123,1.000000
44,1292.461641,1298.854774,1396.382281,1.000000
45,1292.461641,1298.636720,1392.348398,1.000000
46,1292.461641,1300.804580,1417.975979,1.000000
47,1292.461641,1296.235675,1433.298633,1.000000
48,1292.461641,1300.598416,1481.110405,1.000000
49,1292.414047,1298.799874,1401.093352,1.000000
50,1292.414047,1294.817163,1459.664721,1.000000
51,1292.414047,1295.536919,1396.989042,1.000000
52,1292.414047,1298.948782,1418.574143,1.000000
53,1292.414047,1298.961719,1397.171320,1.000000
54,1291.030704,1299.050758,1519.360341,1.000000
55,1291.030704,1299.343054,1497.745774,1.000000
56,1291.030704,1299.355577,1437.305084,1.000000
57,1291.030704,1298.024156,1423.611619,1.000000
58,1291.030704,1296.231227,1417.611276,1.000000
59,1291.030704,1295.947567,1372.157175,1.000000
60,1291.030704,1297.984644,1366.160891,1.000000
61,1291.030704,1300.412067,1400.981990,1.000000
62,1291.030704,1297.368936,1416.956853,1.000000
63,1291.030704,1297.368936,1394.465501,1.000000
64,1291.030704,1297.574012,1392.900115,1.000000
65,1291.030704,1297.298653,1432.996665,1.000000
66,1291.030704,1296.514888,1467.354257,1.000000
67,1291.030704,1297.574012,1456.951034,1.000000
68,1291.030704,1297.574012,1392.525288,1.000000
69,1291.030704,1296.514888,1385.207146,1.000000
70,1289.768337,1297.574012,1401.315363,1.000000
71,1289.768337,1296.732943,1434.613175,1.000000
72,1289.768337,1296.939546,1452.763788,1.000000
73,1289.768337,1297.368936,1404.771706,1.000000
74,1289.768337,1297.196115,1444.222541,1.000000
75,1289.768337,1297.537540,1424.330081,1.000000
76,1289.768337,1297.368936,1385.426583,1.000000
77,1289.768337,1300.524732,1452.444677,1.000000
78,1289.768337,1296.150393,1397.151281,1.000000
79,1288.753856,1300.290726,1400.014732,1.000000
80,1288.753856,1300.169384,1404.494281,1.000000
81,1288.753856,1296.106569,1394.727385,1.000000
82,1288.698322,1295.679545,1446.451251,1.000000
83,1288.698322,1295.409931,1404.045857,1.000000
84,1288.659592,1293.575604,1442.903526,1.000000
85,1288.659592,1295.335032,1389.571971,1.000000
86,1288.659592,1299.598375,1528.286031,1.000000
87,1288.659592,1299.874718,1412.503497,1.000000
88,1288.659592,1295.324829,1406.764806,1.000000
89,1288.659592,1295.249601,1390.707595,1.000000
90,1288.659592,1294.989131,1396.250740,1.000000
91,1288.659592,1294.781147,1396.740014,1.000000
92,1288.659592,1295.202900,1417.175403,1.000000
93,1288.659592,1295.202900,1417.458268,1.000000
94,1288.659592,1295.296303,1375.762216,1.000000
95,1288.659592,1299.551244,1430.263932,1.000000
96,1288.659592,1295.044757,1391.936287,1.000000
97,1288.659592,1294.761782,1395.777294,1.000000
98,1288.659592,1294.452779,1423.389664,1.000000
99,1288.659592,1293.576455,1387.954579,1.000000
100,1288.659592,1292.992655,1374.861235,1.000000
101,1288.659592,1295.202900,1430.615173,1.000000
102,1288.659592,1293.860116,1393.986401,1.000000
103,1288.659592,1295.296303,1432.249556,1.000000
104,1288.659592,1294.950401,1425.759467,1.000000
105,1288.659592,1295.123829,1387.785201,1.000000
106,1288.659592,1294.903270,1399.938526,1.000000
107,1288.659592,1295.296303,1434.128411,1.000000
108,1288.659592,1294.903270,1388.146704,1.000000
109,1288.659592,1295.296303,1403.799368,1.000000
110,1288.659592,1294.083149,1446.455293,1.000000
111,1288.659592,1294.143777,1408.127682,1.000000
112,1288.659592,1295.123829,1441.896475,1.000000
113,1288.659592,1295.044757,1462.765833,1.000000
114,1288.659592,1294.143777,1483.720122,1.000000
115,1288.659592,1295.123829,1384.835609,1.000000
116,1288.659592,1294.781147,1414.360585,1.000000
117,1288.659592,1294.922634,1467.027877,1.000000
118,1288.659592,1294.761782,1396.987694,1.000000
119,1288.659592,1294.083149,1383.284771,1.000000
120,1288.659592,1295.123829,1459.412106,1.000000
121,1288.659592,1302.946311,1459.420192,1.000000
122,1288.659592,1295.202900,1508.063722,1.000000
123,1288.659592,1295.296303,1438.651161,1.000000
124,1288.659592,1294.143777,1455.457478,1.000000
125,1288.659592,1295.249601,1369.377051,1.000000
126,1288.659592,1295.296303,1402.130317,1.000000
127,1288.659592,1295.123829,1398.722839,1.000000
128,1288.659592,1296.472766,1413.916651,1.000000
129,1288.659592,1295.123829,1430.984102,1.000000
130,1288.659592,1295.296303,1425.521393,1.000000
