generation,best_total_travel,median_total_travel,worst_total_travel,feasible_ratio
0,1078.562429,1248.333955,1412.738506,1.000000
1,1010.803893,1159.661270,1430.132882,1.000000
2,985.497153,1086.619400,1241.633650,1.000000
3,927.445834,1056.992838,1203.644676,1.000000
4,926.651567,1032.203358,1264.705405,1.000000
5,873.028818,998.207729,1193.830620,1.000000
6,866.034245,963.871496,1088.029323,1.000000
7,860.570656,930.019491,1124.922960,1.000000
8,858.798594,900.091731,1063.312665,1.000000
9,839.794882,892.306763,1067.013723,1.000000
10,821.838223,895.058069,1076.013192,1.000000
11,821.838223,872.123072,1040.216788,1.000000
12,801.444153,865.079105,1054.499385,1.000000
13,800.475363,858.172142,1025.601758,1.000000
14,800.475363,840.484037,1002.339766,1.000000
15,790.317879,831.441460,962.701004,1.000000
16,790.317879,827.266098,1005.644195,1.000000
17,788.850877,816.571247,997.422132,1.000000
18,788.746521,812.259604,956.386206,1.000000
19,788.746521,804.454265,1023.160272,1.000000
20,786.816092,799.671022,965.996196,1.000000
21,786.816092,797.699393,930.172674,1.000000
22,786.816092,791.547103,911.261868,1.000000
23,784.509570,790.312154,965.102062,1.000000
24,782.834125,788.850877,922.102005,1.000000
25,782.834125,787.823966,949.094581,1.000000
26,782.538630,786.816092,909.260617,1.000000
27,780.847192,786.657124,1002.891443,1.000000
28,780.847192,784.951485,967.197823,1.000000
29,780.847192,782.834125,900.562997,1.000000
30,779.486463,782.969783,900.220748,1.000000
31,779.486463,786.323173,941.791143,1.000000
32,777.599377,786.200757,919.506068,1.000000
33,777.599377,782.380725,958.886710,1.000000
34,776.238648,781.030208,893.979813,1.000000
35,776.238648,787.073942,952.432337,1.000000
36,773.560733,788.457578,948.084261,1.000000
37,773.560733,780.668270,914.198458,1.000000
38,773.560733,783.092870,941.969066,1.000000
39,773.560733,782.751185,896.032051,1.000000
40,773.560733,778.261986,958.970067,1.000000
41,773.560733,777.811432,906.055000,1.000000
42,773.560733,773.560733,950.758255,1.000000
43,769.511370,778.902869,886.247604,1.000000
44,769.511370,802.003504,992.198745,1.000000
45,769.511370,801.420578,989.981526,1.000000
46,769.511370,788.329069,979.869048,1.000000
47,769.511370,778.550881,907.834294,1.000000
48,769.511370,797.373053,927.688581,1.000000
49,769.511370,785.060880,921.288853,1.000000
50,769.511370,774.548292,942.403220,1.000000
51,769.414436,788.554056,918.927060,1.000000
52,766.547484,771.102307,931.724316,1.000000
53,766.547484,769.760005,907.692247,1.000000
54,766.547484,769.760005,907.037263,1.000000
55,766.547484,772.521203,890.063006,1.000000
56,766.450550,773.017318,938.203659,1.000000
57,766.450550,772.857987,915.653410,1.000000
58,766.450550,769.462903,903.792253,1.000000
59,766.450550,800.683689,909.407444,1.000000
60,766.450550,772.596079,1010.861515,1.000000
61,766.450550,767.303789,887.421717,1.000000
62,766.450550,770.698387,876.874516,1.000000
63,766.450550,766.547484,934.916567,1.000000
64,766.450550,767.840879,955.023731,1.000000
65,766.450550,766.547484,918.984069,1.000000
66,766.450550,766.450550,876.540088,1.000000
67,766.450550,766.450550,957.332076,1.000000
68,766.450550,768.724688,950.633990,1.000000
69,766.450550,766.450550,876.540088,1.000000
70,766.450550,766.450550,876.874516,1.000000
71,766.450550,766.697771,902.897059,1.000000
72,766.450550,766.682033,879.600897,1.000000
73,766.450550,766.450550,918.376061,1.000000
74,766.450550,772.547611,876.354046,1.000000
75,766.450550,784.883346,955.049029,1.000000
76,766.450550,770.698387,933.114845,1.000000
77,766.450550,771.151803,905.877638,1.000000
78,766.450550,799.296116,935.327247,1.000000
79,766.450550,766.602201,939.730772,1.000000
80,766.450550,766.602201,916.205903,1.000000
81,766.450550,766.450550,965.377226,1.000000
82,766.450550,770.633497,921.477992,1.000000
83,766.450550,785.694093,909.291557,1.000000
84,766.450550,795.977240,916.947850,1.000000
85,766.450550,777.264381,1008.986868,1.000000
86,766.450550,766.450550,953.627669,1.000000
87,766.450550,797.796793,902.641183,1.000000
88,766.450550,770.701249,904.674342,1.000000
89,766.450550,771.151803,907.633269,1.000000
90,766.450550,766.450550,924.688681,1.000000
91,766.450550,771.602358,952.995913,1.000000
92,766.450550,770.701249,934.107556,1.000000
93,766.450550,766.491507,885.662728,1.000000
94,766.450550,771.602358,912.242436,1.000000
95,766.450550,766.546120,897.573505,1.000000
96,766.450550,771.151803,889.148613,1.000000
97,766.450550,767.458618,952.068480,1.000000
98,766.450550,766.450550,910.628455,1.000000
99,766.450550,770.701249,927.913293,1.000000
100,766.450550,770.701249,901.599274,1.000000
101,766.450550,766.958781,929.915214,1.000000
102,766.450550,766.704665,917.285014,1.000000
103,766.450550,798.399423,894.355409,1.000000
104,766.450550,770.701249,972.725229,1.000000
105,766.450550,766.450550,885.662728,1.000000
106,766.450550,782.304919,972.515348,1.000000
107,766.450550,766.450550,903.860191,1.000000
108,766.450550,770.060632,888.220091,1.000000
109,766.450550,770.701249,922.456870,1.000000
110,766.450550,771.151803,928.718643,1.000000
111,766.450550,770.352093,946.277591,1.000000
112,766.450550,770.352093,966.140380,1.000000
113,766.450550,770.701249,955.678959,1.000000
114,766.450550,767.939302,902.396372,1.000000
115,766.450550,768.800555,912.175261,1.000000
116,766.450550,770.701249,891.764987,1.000000
117,766.450550,770.701249,951.281406,1.000000
118,766.450550,772.266258,971.898189,1.000000
119,766.450550,771.602358,921.481055,1.000000
120,766.450550,797.255276,876.540088,1.000000
121,766.450550,781.663740,905.702700,1.000000
122,766.450550,774.670368,876.354046,1.000000
123,766.450550,766.450550,907.533899,1.000000
124,766.450550,768.727550,909.128274,1.000000
125,766.450550,773.428296,918.867796,1.000000
126,766.450550,781.456823,901.330235,1.000000
127,766.450550,784.376827,943.391629,1.000000
128,766.450550,770.701249,917.285014,1.000000
129,766.450550,788.357739,961.846513,1.000000
130,766.450550,767.089504,891.006475,1.000000
131,766.450550,767.922394,916.156587,1.000000
132,766.450550,766.450550,921.589105,1.000000
133,766.450550,770.701249,876.354046,1.000000
134,766.450550,771.151803,904.913853,1.000000
135,766.450550,771.151803,941.331323,1.000000
136,766.450550,771.151803,955.568597,1.000000
137,766.450550,771.602358,869.173971,1.000000
138,766.450550,770.698387,903.184180,1.000000
139,766.450550,779.501659,907.536334,1.000000
140,766.450550,796.682967,911.624487,1.000000
141,766.450550,770.439431,980.196146,1.000000
142,766.450550,771.151803,920.150055,1.000000
143,766.450550,770.701249,876.874516,1.000000
144,766.450550,766.450550,905.866442,1.000000
145,766.450550,766.450550,876.756060,1.000000
146,766.450550,768.096514,876.531847,1.000000
147,766.450550,795.701207,892.844979,1.000000
148,766.450550,767.181189,996.422538,1.000000
149,766.450550,770.701249,915.154663,1.000000
150,766.450550,766.450550,884.082781,1.000000
151,766.450550,787.049112,873.352063,1.000000
152,766.450550,771.151803,869.173971,1.000000
153,766.450550,795.816012,929.954096,1.000000
154,766.450550,767.689228,970.972253,1.000000
155,766.450550,766.450550,907.536334,1.000000
156,766.450550,766.450550,900.792901,1.000000
157,766.450550,771.602358,957.795986,1.000000
158,766.450550,771.151803,948.567111,1.000000
159,766.450550,771.602358,917.471057,1.000000
160,766.450550,771.151803,901.677493,1.000000
161,766.450550,774.861332,923.232222,1.000000
162,766.450550,770.288506,959.365252,1.000000
163,766.450550,768.355016,886.003406,1.000000
164,766.450550,766.450550,886.953340,1.000000
165,766.450550,766.450550,894.444271,1.000000
166,766.450550,783.694387,910.386140,1.000000
167,766.450550,800.656859,959.983714,1.000000
168,766.450550,780.088612,969.777424,1.000000
169,766.450550,795.520148,937.369735,1.000000
170,766.450550,794.054405,925.550098,1.000000
171,766.450550,788.331428,943.052657,1.000000
172,766.450550,771.643315,870.880215,1.000000
173,766.450550,766.491507,897.408807,1.000000
174,766.450550,768.998339,876.613761,1.000000
175,766.450550,769.211690,993.418133,1.000000
176,766.450550,768.887085,977.344056,1.000000
177,766.450550,770.027487,901.442689,1.000000
178,766.450550,771.151803,876.540088,1.000000
179,766.450550,791.041336,953.192242,1.000000
180,766.450550,771.098541,936.498975,1.000000
181,766.450550,766.450550,895.006964,1.000000
182,766.450550,770.701249,927.107350,1.000000
183,766.450550,767.033501,888.771238,1.000000
184,766.450550,767.787651,903.864935,1.000000
185,766.450550,766.450550,878.469756,1.000000
186,766.450550,768.575899,934.492057,1.000000
187,766.450550,770.679175,913.132409,1.000000
188,766.450550,770.701249,879.899270,1.000000
189,766.450550,770.023047,968.692517,1.000000
190,766.450550,766.450550,876.354046,1.000000
191,766.450550,772.250390,877.040078,1.000000
192,766.450550,770.701249,964.990479,1.000000
193,766.450550,766.450550,918.586349,1.000000
194,766.450550,770.701249,909.268639,1.000000
195,766.450550,766.450550,932.286075,1.000000
196,766.450550,766.450550,926.975292,1.000000
197,766.450550,770.077111,912.032418,1.000000
198,766.450550,771.605622,905.224930,1.000000
199,766.450550,779.015078,902.285205,1.000000
200,766.450550,772.825004,998.999433,1.000000
201,766.450550,771.608885,880.680160,1.000000
202,766.450550,773.492865,971.448302,1.000000
203,766.450550,766.450550,880.039471,1.000000
204,766.450550,771.151803,872.170827,1.000000
205,766.450550,770.445565,891.085955,1.000000
206,766.450550,777.127041,911.109043,1.000000
207,766.450550,770.701249,883.725531,1.000000
208,766.450550,766.450550,915.521644,1.000000
209,766.450550,766.450550,880.398788,1.000000
210,766.450550,766.450550,959.782142,1.000000
211,766.450550,786.032813,950.530309,1.000000
212,766.450550,766.450550,926.521756,1.000000
213,766.450550,766.450550,920.235744,1.000000
214,766.450550,766.450550,944.929215,1.000000
215,766.450550,766.450550,877.506107,1.000000
216,766.450550,770.701249,911.335482,1.000000
217,766.450550,770.701249,879.447290,1.000000
218,766.450550,768.512312,888.997145,1.000000
219,766.450550,771.151803,915.838031,1.000000
220,766.450550,771.151803,924.976039,1.000000
221,766.450550,772.680007,914.716409,1.000000
222,766.450550,770.701249,947.757673,1.000000
223,766.450550,770.698387,886.412332,1.000000
224,766.450550,767.324582,947.437446,1.000000
225,766.450550,782.158852,992.301236,1.000000
226,766.450550,796.640329,908.715179,1.000000
227,766.450550,775.956528,892.904615,1.000000
228,766.450550,766.450550,935.671062,1.000000
229,766.450550,771.602358,942.075051,1.000000
230,766.450550,770.701249,973.961324,1.000000
231,766.450550,771.602358,932.740536,1.000000
232,766.450550,767.365539,876.354046,1.000000
233,766.450550,770.701249,905.158451,1.000000
234,766.450550,770.698387,922.044832,1.000000
235,766.450550,770.020185,960.149395,1.000000
236,766.450550,770.701249,922.286462,1.000000
237,766.450550,770.345591,876.540088,1.000000
