generation,best_total_travel,median_total_travel,worst_total_travel,feasible_ratio
0,1393.664093,1601.950300,1841.325513,1.000000
1,1288.103138,1482.192791,1732.406949,1.000000
2,1258.538419,1395.480918,1561.001905,1.000000
3,1213.306991,1347.633968,1592.035052,1.000000
4,1183.850235,1270.554845,1479.126146,1.000000
5,1128.814878,1251.740038,1498.546939,1.000000
6,1106.055213,1219.415604,1428.149963,1.000000
7,1078.031786,1171.166503,1369.209321,1.000000
8,1033.688140,1168.400557,1299.889057,1.000000
9,1033.688140,1128.742578,1337.064045,1.000000
10,1028.092261,1096.701577,1367.239561,1.000000
11,1020.447233,1096.590567,1345.787103,1.000000
12,1010.921955,1069.455749,1252.946657,1.000000
13,1001.110596,1042.908385,1259.368848,1.000000
14,994.707813,1042.914692,1204.780982,1.000000
15,990.027501,1032.847946,1237.164014,1.000000
16,990.027501,1017.161758,1252.455486,1.000000
17,984.012210,1004.948399,1272.032772,1.000000
18,978.637001,1013.355100,1196.441647,1.000000
19,966.440744,1001.753081,1172.114698,1.000000
20,964.586549,993.723056,1193.408874,1.000000
21,964.586549,1007.012640,1133.962220,1.000000
22,955.508635,1000.953359,1201.692254,1.000000
23,951.006238,998.141195,1221.260397,1.000000
24,943.055421,981.088098,1132.448565,1.000000
25,935.290636,978.125547,1221.504443,1.000000
26,931.435784,991.424500,1192.320941,1.000000
27,928.964987,971.569984,1135.816488,1.000000
28,928.964987,950.027169,1124.562405,1.000000
29,926.691051,947.412099,1178.248181,1.000000
30,926.691051,968.774278,1179.867161,1.000000
31,926.413190,939.690380,1240.448994,1.000000
32,920.638391,938.197666,1130.309699,1.000000
33,914.869027,929.126377,1136.021718,1.000000
34,911.006527,945.055605,1103.347670,1.000000
35,911.006527,943.369504,1172.614967,1.000000
36,910.774634,926.280388,1151.144103,1.000000
37,908.942971,921.700128,1080.712365,1.000000
38,908.395632,956.963331,1081.004382,1.000000
39,908.395632,971.585995,1168.173107,1.000000
40,906.491430,982.996463,1151.640390,1.000000
41,906.491430,971.969593,1073.903517,1.000000
42,905.821886,957.180689,1132.996976,1.000000
43,905.347010,945.007949,1123.843640,1.000000
44,904.614316,974.823599,1118.679798,1.000000
45,904.614316,967.598281,1112.847259,1.000000
46,904.614316,934.562182,1125.852576,1.000000
47,902.775691,976.442301,1098.815992,1.000000
48,902.775691,978.718769,1094.508547,1.000000
49,902.775691,976.777247,1121.135685,1.000000
50,900.332425,982.684951,1156.260459,1.000000
51,898.493799,904.660052,1129.179536,1.000000
52,898.493799,972.035907,1080.367844,1.000000
53,898.493799,979.133933,1143.603185,1.000000
54,898.493799,992.148553,1163.847379,1.000000
55,898.493799,957.948785,1098.024479,1.000000
56,898.493799,903.804938,1150.359573,1.000000
57,898.493799,937.294255,1161.839844,1.000000
58,898.493799,967.730789,1065.916563,1.000000
59,898.493799,900.634745,1160.202849,1.000000
60,898.493799,927.455168,1126.746508,1.000000
61,898.493799,919.012817,1061.605494,1.000000
62,898.493799,935.029926,1158.813477,1.000000
63,898.493799,898.539535,1038.942743,1.000000
64,898.493799,978.618392,1102.264399,1.000000
65,898.493799,973.069564,1104.149711,1.000000
66,898.493799,898.725497,1126.410903,1.000000
67,898.493799,898.789073,1107.741569,1.000000
68,898.493799,965.914247,1091.711695,1.000000
69,898.493799,898.516667,1135.130520,1.000000
70,898.493799,960.338302,1102.113297,1.000000
71,898.493799,904.149396,1100.046223,1.000000
72,898.493799,898.493799,1110.622678,1.000000
73,898.493799,899.533155,1115.584719,1.000000
74,898.493799,898.727950,1045.579630,1.000000
75,898.493799,975.238623,1065.405231,1.000000
76,898.493799,914.469784,1156.766725,1.000000
77,898.493799,924.658462,1156.890528,1.000000
78,898.493799,898.493799,1100.059257,1.000000
79,898.493799,898.493799,1138.529227,1.000000
80,898.493799,898.493799,1156.545096,1.000000
81,898.493799,898.493799,1132.468364,1.000000
82,898.493799,898.493799,1120.342710,1.000000
83,898.493799,899.236002,1098.182070,1.000000
84,898.493799,898.493799,1092.633584,1.000000
85,898.493799,901.441274,1044.032662,1.000000
86,898.493799,898.515404,1085.449527,1.000000
87,898.151745,898.493799,1118.361339,1.000000
88,896.983673,898.576300,1143.397635,1.000000
89,896.983673,979.597085,1137.088962,1.000000
90,896.983673,898.658800,1122.816877,1.000000
91,896.983673,898.493799,1041.238168,1.000000
92,896.983673,900.731813,1061.135935,1.000000
93,896.983673,901.406079,1056.796376,1.000000
94,896.983673,944.179228,1036.268479,1.000000
95,896.983673,938.128698,1160.455658,1.000000
96,896.983673,959.061915,1067.201091,1.000000
97,896.983673,970.796506,1164.427331,1.000000
98,896.983673,919.833477,1083.753758,1.000000
99,896.983673,897.116475,1104.569651,1.000000
100,896.983673,944.601872,1056.802342,1.000000
101,896.983673,902.493471,1036.268479,1.000000
102,896.983673,896.983673,1054.257866,1.000000
103,896.983673,927.276796,1145.603739,1.000000
104,896.983673,896.983673,1107.020993,1.000000
105,896.983673,896.983673,1094.802561,1.000000
106,896.983673,896.983673,1086.014601,1.000000
107,896.983673,988.819303,1068.857717,1.000000
108,896.983673,958.423139,1186.234976,1.000000
109,896.983673,960.302012,1138.437826,1.000000
110,896.983673,897.176107,1174.696243,1.000000
111,896.983673,906.073218,1139.034287,1.000000
